Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep) 
 06/01  04:01:00,18.2916666666667,20.4095158179918,20.3857761995365,20.3921382030545,20.3805236382542,20.4066255738825,20.6685692467687 
 06/01  04:02:00,18.2833333333333,20.4073838325852,20.3856548470561,20.3920602524169,20.380428601345,20.4063839152509,20.6678491097676 
 06/01  04:03:00,18.275,20.4052619485478,20.3854846855263,20.3919424556423,20.3802856231233,20.4060951528723,20.6671336593976 
 06/01  04:04:00,18.2666666666667,20.4031504678439,20.3852681040203,20.3917868985115,20.3800968969783,20.4057637149658,20.6664228281766 
 06/01  04:05:00,18.2583333333333,20.4010483106703,20.3850110553785,20.3915986835836,20.3798681431546,20.4053967599569,20.6657165681456 
 06/01  04:06:00,18.25,20.3990543280186,20.3847257530231,20.391388225946,20.3796110143199,20.4050146657977,20.6650310625536 
 06/01  04:07:00,18.2416666666667,20.3970192985705,20.3844110942325,20.3911547379202,20.3793247137847,20.4046063006468,20.6643460695411 
 06/01  04:08:00,18.2333333333333,20.3950370317674,20.3840748026199,20.390902495007,20.3790166133524,20.4041853187244,20.6636740812569 
 06/01  04:09:00,18.225,20.3929935369008,20.3837137924461,20.3906199391553,20.378683955715,20.4037397801991,20.6629977986616 
 06/01  04:10:00,18.2166666666667,20.3910049918061,20.3833358445651,20.3903195214027,20.3783341315934,20.4032854795508,20.6623326719564 
 06/01  04:11:00,18.2083333333333,20.3889641085861,20.3829376229889,20.3899939320202,20.3779641162426,20.4028108734704,20.6616629347494 
 06/01  04:12:00,18.2,20.3869843933884,20.3825266855449,20.3896571036462,20.3775810829817,20.4023317847493,20.6610043084202 
 06/01  04:13:00,18.1916666666667,20.3849564476479,20.382099015833,20.3893005169831,20.3771813424228,20.4018356961296,20.6603411491575 
 06/01  04:14:00,18.1833333333333,20.3829910480002,20.3816617494885,20.3889372312521,20.3767716627437,20.4013380002964,20.6596889850861 
